timestamp,lmp_price
2025-07-17 03:00:00,37.00764
2025-07-17 04:00:00,41.38079
2025-07-17 05:00:00,43.5403
2025-07-17 06:00:00,43.23589
2025-07-17 07:00:00,34.65289
2025-07-17 08:00:00,33.66562
2025-07-17 09:00:00,33.45043
2025-07-17 10:00:00,32.48859
2025-07-17 11:00:00,32.4175
2025-07-17 12:00:00,32.02198
2025-07-17 13:00:00,34.39731
2025-07-17 14:00:00,36.76
2025-07-17 15:00:00,36.76877
2025-07-17 16:00:00,34.21923
2025-07-17 17:00:00,37.08478
2025-07-17 18:00:00,45.85363
2025-07-17 19:00:00,52.37401
2025-07-17 20:00:00,51.30116
2025-07-17 21:00:00,47.79261
2025-07-17 22:00:00,43.59572
2025-07-17 23:00:00,41.58973
2025-07-18 00:00:00,43.09156
2025-07-18 01:00:00,41.9193
2025-07-18 02:00:00,41.67633
2025-07-18 03:00:00,40.96496
2025-07-18 04:00:00,42.23918
2025-07-18 05:00:00,42.5663
2025-07-18 06:00:00,42.85966
2025-07-18 07:00:00,34.36042
2025-07-18 08:00:00,34.2115
2025-07-18 09:00:00,37.47484
2025-07-18 10:00:00,33.11
2025-07-18 11:00:00,33.643
2025-07-18 12:00:00,33.17148
2025-07-18 13:00:00,34.30227
2025-07-18 14:00:00,36.18806
2025-07-18 15:00:00,34.54758
2025-07-18 16:00:00,33.70896
2025-07-18 17:00:00,37.4145
2025-07-18 18:00:00,45.3476
2025-07-18 19:00:00,43.0
2025-07-18 20:00:00,48.84269
2025-07-18 21:00:00,46.73658
2025-07-18 22:00:00,44.04502
2025-07-18 23:00:00,43.76059
2025-07-19 00:00:00,43.68828
2025-07-19 01:00:00,40.69168
2025-07-19 02:00:00,40.12339
2025-07-19 03:00:00,37.94318
2025-07-19 04:00:00,39.69269
2025-07-19 05:00:00,43.22087
2025-07-19 06:00:00,39.69445
2025-07-19 07:00:00,24.28615
2025-07-19 08:00:00,24.12876
2025-07-19 09:00:00,25.67982
2025-07-19 10:00:00,22.18147
2025-07-19 11:00:00,22.98506
2025-07-19 12:00:00,22.55589
2025-07-19 13:00:00,23.88682
2025-07-19 14:00:00,29.84633
2025-07-19 15:00:00,34.43415
2025-07-19 16:00:00,33.81772
2025-07-19 17:00:00,35.18702
2025-07-19 18:00:00,43.30376
2025-07-19 19:00:00,47.53613
2025-07-19 20:00:00,48.50607
2025-07-19 21:00:00,46.68719
2025-07-19 22:00:00,44.39017
2025-07-19 23:00:00,42.81372
2025-07-20 00:00:00,43.36271
